confirmed,deaths,city_ibge_code
7,0,5200050
12,0,5200100
2,0,5200134
1,0,5200159
1,0,5200175
302,6,5200258
7,0,5200308
1,0,5200506
3,0,5200605
3,0,5200829
2,0,5200902
181,2,5201108
1,0,5201207
5,0,5201306
608,15,5201405
8,0,5201454
0,0,5201504
0,0,5201603
12,0,5201702
8,0,5201801
2,1,5202155
0,0,5202601
1,0,5202809
10,1,5203203
30,1,5203302
1,0,5203401
4,0,5203500
7,0,5203559
0,0,5203609
2,0,5203807
1,1,5204003
5,0,5204102
3,0,5204250
24,0,5204300
1,0,5204409
25,2,5204508
0,0,5204557
1,0,5204607
11,0,5204706
2,0,5204805
1,0,5204854
16,1,5204904
3,0,5205000
3,0,5205059
36,1,5205109
1,0,5205208
1,0,5205307
4,0,5205406
1,0,5205455
11,0,5205471
42,1,5205497
10,0,5205513
0,0,5205521
1,0,5205703
2,0,5205802
1,1,5205901
11,1,5206206
3,0,5206404
1,0,5206503
7,0,5206602
1,0,5206800
0,0,5207253
7,0,5207402
1,0,5207535
2,0,5207808
1,0,5207907
48,2,5208004
4,0,5208152
5,0,5208400
3,1,5208509
41,3,5208608
2291,72,5208707
5,0,5208806
1,0,5208905
16,2,5209101
1,0,5209150
10,0,5209200
31,1,5209705
3,0,5209804
4,0,
19,0,5209952
10,0,5210000
1,0,5210109
1,0,5210158
6,2,5210208
1,0,5210307
7,1,5210406
2,0,5210604
3,0,5210802
2,0,5210901
4,0,5211206
1,0,5211404
22,1,5211503
3,0,5211602
1,0,5211701
17,0,5211800
103,1,5211909
3,0,5212055
2,1,5212105
2,0,5212204
11,0,5212303
97,4,5212501
7,1,5212808
14,0,5213004
4,0,5213087
58,0,5213103
2,0,5213509
1,0,5213707
2,0,5213756
18,2,5213806
0,0,5214002
1,0,5214101
9,1,5214507
9,0,5214606
1,0,5214705
19,0,5214861
3,0,5215009
105,6,5215231
1,0,5215256
58,0,5215603
10,1,5215702
1,1,5215900
3,0,5216304
14,2,5216403
20,1,5217104
3,0,5217203
5,0,5217302
9,1,5217401
99,7,5217609
25,1,5218003
2,0,5218102
2,0,5218300
6,2,5218391
15,0,5218508
21,0,5218607
1,0,5218706
160,2,5218805
11,1,5218904
1,0,5219258
29,0,5219308
1,0,5219407
0,0,5219456
2,1,5219506
1,0,5219704
2,1,5219738
150,3,5219753
7,1,5220009
0,0,5220058
10,0,5220108
2,0,5220207
9,0,5220405
134,2,5220454
1,0,5220504
4,0,5220603
4,0,5221197
62,2,5221403
2,0,5221502
30,0,5221601
3,0,5221700
2,0,5221809
184,3,5221858
4,0,5222005
43,3,3500105
3,0,3500204
43,4,3500303
1,0,3500402
16,1,3500501
1,0,3500550
2,0,3500600
32,1,3500709
5,0,3500758
3,1,3500808
1,0,3500907
5,0,3501004
1,1,3501103
12,1,3501152
1,0,3501202
11,1,3501301
2,2,3501400
1,0,3501509
160,8,3501608
49,2,3501707
4,0,3501806
66,4,3501905
42,5,3502101
26,2,3502200
2,0,3502309
3,0,3502408
7,0,3502507
2,0,3502705
19,1,3502754
199,7,3502804
45,1,3502903
10,2,3503109
327,5,3503208
138,4,3503307
1,0,3503406
10,3,3503604
2,0,3503703
29,2,3503802
291,21,3503901
2,0,3503950
60,5,3504008
98,4,3504107
3,0,3504206
2,0,3504305
1,0,3504404
70,7,3504503
31,4,3504602
2,0,3504800
5,0,3504909
1,0,3505005
0,0,3505104
17,1,3505203
46,1,3505302
9,1,3505401
277,12,3505500
21,1,3505609
1351,139,3505708
2,0,3505807
22,1,3505906
367,15,3506003
31,2,3506102
1,0,3506300
135,7,3506359
1,0,3506409
60,1,3506508
38,4,3506607
12,0,3506706
11,1,3506805
9,2,3506904
76,5,3507001
22,0,3507100
1,0,3507209
5,0,3507308
12,0,3507407
4,0,3507456
344,8,3507506
254,12,3507605
